"序号","标题","发布日期","来源网站","网址","来源栏目","证据类型","结构线索摘录","正文验证","正文验证说明","采集说明"
"221","市政府第57次常务会议纪要","2024-06-05","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202406/3166b9282689489ea8064b10b826f346.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","设工作情况汇报，学习《市场主体登记管理条例》《企业名称登记管理规定实施办法》，传达上级关于安全生产工作的最新部署要求。 会议议定以下意见： 一、 听取危险化学品和工贸企业安全生产 “ 六化 ” 建设工作情况汇报 （一）原则同意市应急管理局关于危险化学品和工贸企业安全生产 “ 六化 ” 建设工作情况的汇报。由市应急管理局根据会议讨论意见，会同相关部门推动各项工作举措落地见效。 （二）要深入推进 “ 六化 ” 建设。安全生产事关民生福祉、发展大局，须臾不可松懈。要认真学习贯彻习近平总书记关于安全生产的重要论述，把 “ 六化 ” 建设作为抓好安全生产的重要方法","二〇二六年七月二十五日公开资料采集整理"
"222","区政府2024年第4次常务会议纪要","2024-05-30","常州经济开发区管理委员会网站","http://www.cznd.gov.cn/html/cznd/2024/KOPOKANH_0809/21752.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=xinbei","栏目链接标题含会议纪要","","正文结构命中","024年5月29日上午，在区商务中心A座二楼求是厅，管委会主任、区长石旭涌主持召开管委会（区政府）常务会议。现将会议内容纪要如下： （一） 会议传达学习了习近平总书记在主持召开企业和专家座谈会时的重要讲话精神。 会议强调，习近平总书记的重要讲话深刻阐述了进一步全面深化改革的目标主题、改革重点、价值取向、方式方法，意义重大、内涵丰富。全区上下要认真学习领会，与习近平总书记对江苏工作重要讲话重要指示精神、习近平总书记关于全面深化改革的一系列新思想新观点新论断等结合起来，一体贯彻落实。要坚持守正创新，注重系统集成，不断用改革的思维、创新的办法解决发展中的新问题","二〇二六年七月二十五日公开资料采集整理"
"223","钟楼区政府2024年度第4次常务会议纪要","2024-05-29","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2024/FPKLLMMN_1206/22593.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","5月24日上午，在区机关815会议室，受区长李超鲲委托，区委常委、副区长王旭锋主持召开区政府2024年度第4次常务会议，现纪要如下：一、会议审议了《常州市钟楼区2024年法治政府建设工作要点》会议强调，法治政府建设是提升区域治理能力和水平的关键抓手，也是深化改革的重要支撑，各级各部门要以更坚决的态度、更有力的举措，坚定不移把法治政府建设推向深入。要聚焦工作要点要求，坚定扛起法治政府建设责任，确保各项部署要求 钟楼区政府2024年度第4次常务会议纪要 〔2024〕第4期 2024年5月24日上午，在区机关815会议室，受区长李超鲲委托，区委常委、副区长王旭","二〇二六年七月二十五日公开资料采集整理"
"224","区政府第32次常务会议纪要","2024-05-24","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2024/CFHMLBAH_0524/31643.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2024年4月26日下午，区长张凯奇在天宁科技促进中心2306会议室，主持召开区政府第32次常务会议。纪要如下： 区政府第32次常务会议纪要 202 4 年 4 月 26 日 下午 ，区长张凯奇在天宁科技促进中心 2306 会议室，主持召开区政府第 32 次常务会议。纪要如下： 一、 会议审议了 《乌衣浜及开放大学地块城中村改造项目增补列入常州市天宁区 2024 年国民经济和社会发展计划事宜》 会议听取了区征收办关于将乌衣浜及开放大学地块城中村改造项目等 2 个房屋征收项目增补列入常州市天宁区 2024 年国民经济和社会发展计划的情况汇","二〇二六年七月二十五日公开资料采集整理"
"225","市政府第55次常务会议纪要","2024-05-14","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202405/611135d6df234a1a919a72232db88cfe.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","》《昆山市规上工业企业研发机构全覆盖三年行动方案》《昆山市推动工业领域设备更新行动计划（ 2024—2027 年）》。 会议议定以下意见： 一、审议《昆山市实施 “ 八大工程 ” 全面提升科技创新能力三年行动计划（ 2024—2026 年）》 （一）原则同意《昆山市实施 “ 八大工程 ” 全面提升科技创新能力三年行动计划（ 2024—2026 年）》（以下简称《八大工程》）。由市科技局根据会议讨论意见，按程序提交市委常委会审议。 （二）提高思想认识。《八大工程》的制定实施是坚持以科技创新为引领、加快培育新质生产力的重要举措，也是昆山谋创新、促转型的关键一","二〇二六年七月二十五日公开资料采集整理"
"226","区政府2024年第3次常务会议纪要","2024-05-07","常州经济开发区管理委员会网站","http://www.cznd.gov.cn/html/cznd/2024/KOPOKANH_0809/21751.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=xinbei","栏目链接标题含会议纪要","","正文结构命中","024年4月30日上午，在区商务中心A座二楼求是厅，管委会主任、区长石旭涌主持召开管委会（区政府）常务会议。现将会议内容纪要如下： （一） 会议传达学习了习近平总书记署名文章《必须坚持人民至上》。会议强调，政府系统要深入学习贯彻习近平总书记关于必须坚持人民至上的重要论述，巩固拓展主题教育成果，更加自觉地站稳人民立场、把握人民愿望、尊重人民创造、集中人民智慧，及时回应群众关切，持续加大高品质的教育、医疗、养老等公共服务供给，不断健全社会保障体系，用实际行动践行全心全意为人民服务的宗旨。 （二） 会议传达学习了全省对口支援协作合作工作有关精神，听取了区经发局","二〇二六年七月二十五日公开资料采集整理"
"227","钟楼区政府2024年度第3次常务会议纪要","2024-05-06","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2024/FPKLLMMN_0513/21760.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","4月26日上午，在区机关815会议室，受区长李超鲲委托，区委常委、副区长王旭锋主持召开区政府2024年度第3次常务会议，现纪要如下：一、会议审议了《关于推动钟楼区新型智能微电网先导区发展的工作方案》会议强调，要抓实对接沟通，建立信息互通互联工作机制，加强与供电等部门常态化联动，切实形成推动工作的强大合力；要抓细项目谋划，做好顶层设计，进一步细化完善方案，有力有效推动各项工作落地落实。会议原则同意区发改 钟楼区政府2024年度第3次常务会议纪要 〔2024〕第3期 2024年4月26日上午，在区机关815会议室，受区长李超鲲委托，区委常委、副区长王旭锋主持","二〇二六年七月二十五日公开资料采集整理"
"228","区政府第31次常务会议纪要","2024-04-30","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2024/CFHMLBAH_0430/31536.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2024年4月2日下午，区长张凯奇在天宁科技促进中心2306会议室，主持召开区政府第31次常务会议。纪要如下 区政府第31次常务会议纪要 202 4 年 4 月 2 日 下午 ，区长张凯奇在天宁科技促进中心 2306 会议室，主持召开区政府第 31 次常务会议。纪要如下： 一、会议审议了《关于印发〈 2024 年度天宁区政府重大行政决策事项目录〉的通知》 会议认为，制定事项目录是健全行政决策制度体系，不断提升行政决策公信力和执行力的重要举措，是规范区政府重大行政决策行为，促进依法、科学、民主决策的重要保障。 会议要求： （ 1 ）依法","二〇二六年七月二十五日公开资料采集整理"
"229","市政府第54次常务会议纪要","2024-04-26","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202404/f2cf873058304e9e8928b1da05726aee.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","山市特种设备安全生产 “ 六化 ” 建设工作方案》《昆山市危废处置及辐射领域安全生产 “ 六化 ” 建设工作方案》 。 会议议定以下意见： （一）原则同意 13 个 “ 六化 ” 建设专项工作方案 。由市民宗局、市科技局、市公安局、市民政局、市资源规划局、市住建局、市交通运输局、市文体广旅局、市市场监管局、生态环境局根据会议讨论意见，按程序提交市委常委会审议。 （二）要对标对表，全面贯彻落实。深入学习贯彻习近平总书记关于安全生产的重要论述，认真对照苏州、昆山相关工作方案要求，逐条逐项梳理 “ 六化 ” 建设 “ 时间表 ”“ 任务书 ” ，聚焦人的不安全","二〇二六年七月二十五日公开资料采集整理"
"230","市政府第53次常务会议纪要","2024-04-16","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202404/15f2a449772246c9b811ed3923dfe84d.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","“ 六化 ” 建设工作方案》《昆山市农业农村安全生产 “ 六化 ” 建设工作方案》，学习《校外培训行政处罚暂行办法》。 会议议定以下意见： 一、审议《昆山市危险化学品企业安全生产 “ 六化 ” 建设工作方案》《昆山市工贸企业安全生产 “ 六化 ” 建设工作方案》《昆山市油气输送管道领域安全生产 “ 六化 ” 建设工作方案》《昆山市电力行业安全生产 “ 六化 ” 建设工作方案》《昆山市农业农村安全生产 “ 六化 ” 建设工作方案》 （一）原则同意市应急管理局《昆山市危险化学品企业安全生产 “ 六化 ” 建设工作方案》《昆山市工贸企业安全生产 “ 六化 ”","二〇二六年七月二十五日公开资料采集整理"
"231","区政府第30次常务会议纪要","2024-04-12","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2024/CFHMLBAH_0412/31518.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2024年3月15日下午，区长张凯奇在天宁科技促进中心2306会议室，主持召开区政府第30次常务会议。纪要如下： 区政府第30次常务会议纪要 202 4 年 3 月 15 日 下午 ，区长张凯奇在天宁科技促进中心 2306 会议室，主持召开区政府第 30 次常务会议。纪要如下： 一、会议审议了《 2024 年度天宁区政府集中建设项目计划》 会议听取了区住建局关于将常州市天宁区非居民用气场所 “瓶改管”工程等 4 个项目列入 2024 年集中建设项目年度计划的情况汇报。 会议强调，要严格按照《区政府投资非盈利性工程建设项目集中建设管理实施","二〇二六年七月二十五日公开资料采集整理"
"232","市政府第52次常务会议纪要","2024-04-10","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202404/30ad1450f4294cca945388ec8c048140.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","等卫生健康领域安全生产 “ 六化 ” 建设工作方案》《昆山市商场市场和餐饮行业安全生产 “ 六化 ” 建设工作方案》。 会议议定以下意见： 一、审议《昆山市安全生产治本攻坚三年行动（ 2024 — 2026 年）实施方案和 2024 年重点工作任务》 （一）原则同意市安委办《昆山市安全生产治本攻坚三年行动（ 2024 — 2026 年）实施方案和 2024 年重点工作任务》。由市安委办根据会议讨论意见，按程序发文实施。 （二）思想上要更重视。开展安全生产治本攻坚三年行动，是深入贯彻落实习近平总书记关于安全生产的重要论述的积极行动，也是国务院安委会在综合分","二〇二六年七月二十五日公开资料采集整理"
"233","钟楼区政府2024年度第2次常务会议纪要","2024-04-08","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2024/FPKLLMMN_0513/21759.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2024年3月29日下午，在区机关102会议室，区长李超鲲主持召开区政府2024年度第2次常务会议，现纪要如下：一、会议听取了关于表扬全区武装工作先进单位和先进个人的情况汇报会议原则同意关于表扬全区武装工作先进单位和先进个人的情况汇报。会议强调，区人武部要以此次表彰为契机，动员广大专武干部和民兵以榜样为镜、向标杆看齐，团结奋进、担当实干，扎实推进国防动员、双拥共建、国防教育等工作落地落实，全力推动全区武装工作再 钟楼区政府2024年度第2次常务会议纪要 〔2024〕第2期 2024年3月29日下午，在区机关102会议室，区长李超鲲主持","二〇二六年七月二十五日公开资料采集整理"
"234","市政府第51次常务会议纪要","2024-03-20","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202403/509bb8a18d7441daaa98b71855dea6b9.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","安全生产专业委员会相关工作情况的汇报、关于对 2024 年安全生产重大事故隐患项目提请市政府挂牌督办有关情况的汇报 。 会议议定以下意见： 一、听取关于农业农村安全生产专业委员会相关工作情况的汇报 （一）原则同意市农业农村局关于农业农村安全生产专业委员会相关工作情况的汇报。由市农业农村局根据会议讨论意见，会同相关部门推动各项工作举措落地见效。 （二）要强化底线意识。学习运用 “ 千万工程 ” 经验，聚焦水上作业、大棚种植、农机管理等重点领域，深入推进 “ 六化 ” 建设，从严抓好问题隐患整改，全力确保农业农村领域安全生产形势持续稳定向好。 （三）要全力排","二〇二六年七月二十五日公开资料采集整理"
"235","区政府2024年第2次常务会议纪要","2024-03-13","常州经济开发区管理委员会网站","http://www.cznd.gov.cn/html/cznd/2024/KOPOKANH_0425/21572.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=xinbei","栏目链接标题含会议纪要","","正文结构命中","第2次常务会议纪要 2024年3月13日上午，在区商务中心A座二楼求是厅，区长石旭涌主持召开区政府常务会议。现将会议内容纪要如下： （一） 会议传达学习了全国两会精神和习近平总书记在参加江苏代表团审议时的重要讲话精神。 会议强调，政府系统要认真学习领会，全力以赴书写好中国式现代化的高新答卷。要加快发展新质生产力，落实好“因地制宜”的要求，统筹推进传统产业升级、新兴产业壮大、未来产业培育。要深化重点领域和关键环节改革，打通束缚发展的堵点难点。要不断巩固拓展主题教育成果，用心用情办好就业、教育、医疗、托育、养老等方面民生实事。要统筹发展和安全，实现高质量发展","二〇二六年七月二十五日公开资料采集整理"
"236","区政府第29次常务会议纪要","2024-03-07","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2024/CFHMLBAH_0307/31513.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2024年2月4日上午，区长张凯奇在天宁科技促进中心2306会议室，主持召开区政府第29次常务会议。纪要如下： 区政府第29次常务会议纪要 202 4 年 2 月 4 日 上午 ，区长张凯奇在天宁科技促进中心 2306 会议室，主持召开区政府第 2 9 次常务会议。纪要如下： 一、 会议审议了《 天宁区营商环境优化暨产业发展大会方案 》 会议认为，召开营商环境优化暨产业发展大会，是深入贯彻党的二十大精神和习近平总书记对江苏工作重要讲话重要指示精神，全面落实全市 “万亿之城再出发”部署要求，进一步动员全区上下坚定信心、鼓足干劲、勇挑大梁","二〇二六年七月二十五日公开资料采集整理"
"237","市政府第50次常务会议纪要","2024-03-06","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202403/f007d8b0e3b34755a80c29af94babfa5.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","化 ” 建设实施方案》《关于加强区镇消防监管能力建设实施方案》《昆山市消防救援大队委托区镇政府消防执法工作实施方案》。 会议议定以下意见： 一、审议 《昆山市推进落实安全生产 “ 六化 ” 建设的实施方案》 （一）原则同意《昆山市推进落实安全生产 “ 六化 ” 建设的实施方案》。由市安委办根据会议讨论意见作修改完善后，按程序提交市委常委会审议。 （二）要提高思想认识，加快 “ 六化 ” 建设。深入学习贯彻习近平总书记关于安全生产的重要论述，把大力推进 “ 六化 ” 建设作为抓本质安全的重要方法论，通过扎扎实实、踏踏实实的工作，推动安全发展理念、安全生产责","二〇二六年七月二十五日公开资料采集整理"
"238","市政府第49次常务会议纪要","2024-03-06","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202403/c1ffb4a5edb5452d9c4935d0de3a8257.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","训机构安全监管的情况汇报，学习《中华人民共和国行政复议法》，强调部署近期大范围雨雪冰冻和寒潮大风天气灾害防范应对工作。 会议议定以下意见： 一、听取关于全市文化娱乐场所及文体类校外培训机构安全监管的情况汇报 （一）原则同意市文体广旅局关于全市文化娱乐场所及文体类校外培训机构安全监管的情况汇报。由市文体广旅局根据会议讨论意见，会同相关部门推动各项工作举措落地见效。 （二）要紧绷安全之弦，坚决抓牢抓实文体旅行业安全生产工作，聚焦未成年人心理健康等重点人群、关键领域加强风险研判和规律把握。 （三）要深入排查隐患，按照安全生产 “ 六化 ” 工作清单，加大线上线","二〇二六年七月二十五日公开资料采集整理"
"239","钟楼区政府2024年度第1次常务会议纪要","2024-02-08","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2024/FPKLLMMN_0513/21758.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2024年1月31日下午，在区机关102会议室，区长李超鲲主持召开区政府2024年度第1次常务会议，现纪要如下：一、会议集体学习了《常州市涉企行政检查办法》会议指出，《常州市涉企行政检查办法》的出台，对于规范涉企行政检查行为、优化法治化营商环境具有重要意义。要加强普法执法，严格依法检查，进一步提升行政监管效能，切实保护企业等市场主体的合法权益。会议强调，要遵循依法、必要、规范、高效原则，在守牢安全底线的前提下，统 钟楼区政府2024年度第1次常务会议纪要 〔2024〕第1期 2024年1月31日下午，在区机关102会议室，区长李超鲲主","二〇二六年七月二十五日公开资料采集整理"
"240","市政府第48次常务会议纪要","2024-02-08","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202402/542ae1531fb24304a9f873e400a92ca3.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","支持工业企业增资扩产实施方案》《昆山市智能化改造数字化转型网络化联接三年行动计划（ 2024 — 2026 年）》 。 会议议定以下意见： 一、 听取关于全市道路交通安全重点隐患路段 “5510” 整治工程的情况汇报 （一）原则同意市公安局关于全市道路交通安全重点隐患路段 “5510” 整治工程的情况汇报。由市公安局根据会议讨论意见，按程序发文实施。 （二）要提高政治站位，坚决扛起整治责任。道路交通安全是 “ 人命关天 ” 的大事，要把实施 “5510” 整治工程作为防范道路交 通领域安全风险、压降各类事故发生的方法论。市有关部门、各区镇要能早则早、快出","二〇二六年七月二十五日公开资料采集整理"
"241","区政府第28次常务会议纪要","2024-02-07","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2024/CFHMLBAH_0207/31425.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2024年1月19日上午，区长张凯奇在天宁科技促进中心2306会议室，主持召开区政府第28次常务会议。纪要如下： 区政府第28次常务会议纪要 2024年1月19日上午，区长张凯奇在天宁科技促进中心2306会议室，主持召开区政府第28次常务会议。纪要如下： 一、会议审议了《常州市天宁区2023年度法治政府建设情况报告》 会议认为，依法行政是提升政府治理体系和治理能力现代化的必由之路，全区上下要坚持党对法治政府建设的全面领导，以更高站位、更大力度全面提升法治政府建设的整体水平。 会议要求：（1）强化责任落实。要切实履行推进法治建设第一责任人","二〇二六年七月二十五日公开资料采集整理"
"242","区政府2024年第1次常务会议纪要","2024-02-05","常州经济开发区管理委员会网站","http://www.cznd.gov.cn/html/cznd/2024/KOPOKANH_0321/21486.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=xinbei","栏目链接标题含会议纪要","","正文结构命中","年第1次常务会议纪要 2024年2月1日上午，在区商务中心A座二楼求是厅，区长石旭涌主持召开区政府常务会议。现将会议内容纪要如下： （一） 会议传达学习了省、市两会精神。 会议强调，政府系统要把学习贯彻省、市两会精神作为当前和今后一个时期的重要政治任务，与学习贯彻党的二十大精神，贯彻落实省、市、区委全会精神结合起来，在全省、全市发展大局中找准高新区的功能定位、发展目标和路径依托，切实当好“532”发展战略主力军，聚力推进“三大工程”，持续扮靓“六张高新名片”，全力打造新能源之都核心区，为常州“万亿之城再出发”勇挑大梁、多作贡献。 （二） 会议学习了新修订","二〇二六年七月二十五日公开资料采集整理"
"243","区政府第27次常务会议纪要","2024-01-23","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2024/CFHMLBAH_0123/31154.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","效 内容概述： 2023年12月25日下午，区长张凯奇在天宁科技促进中心2306会议室，主持召开区政府第27次常务会议。纪要如下： 区政府第27次常务会议纪要 2023 年 1 2 月 2 5 日下午，区长张凯奇在天宁科技促进中心 2306 会议室，主持召开区政府第 2 7 次常务会议。纪要如下： 一、 会议审议了《 2024 年政府工作报告》和《 2024 年度区民生实事候选项目》 会议认为，《 2024 年政府工作报告》是全区上下集思广益、凝聚众智的结晶，报告全面客观地总结回顾了 2023 年工作，成效突出、亮点纷呈、振奋人心；对 2024 年工作部","二〇二六年七月二十五日公开资料采集整理"
"244","市政府第47次常务会议纪要","2024-01-05","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202401/cddc2bdd6f84407f8f1bf406e10360cc.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","情况与2024年国民经济和社会发展计划草案的报告》，听取2023年财政预算执行情况和2024年财政预算（草案）的汇报。 会议议定以下意见： 一、审议《全市主要发展指标2023年预计完成和2024年预期目标》《昆山市2023年国民经济和社会发展计划执行情况与2024年国民经济和社会发展计划草案的报告》 （一）原则同意《全市主要发展指标2023年预计完成和2024年预期目标》《昆山市2023年国民经济和社会发展计划执行情况与2024年国民经济和社会发展计划草案的报告》。由市发改委根据会议讨论意见作进一步修改完善后，按程序提交市委常委会审议。 （二）要全力冲刺","二〇二六年七月二十五日公开资料采集整理"
"245","钟楼区政府2023年度第11次常务会议纪要","2023-12-24","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2024/FPKLLMMN_0111/21164.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","效 内容概述： 2023年12月24日上午，在区机关102会议室，区长李超鲲主持召开区政府2023年度第11次常务会议，现纪要如下：一、会议集体学习了《中华人民共和国行政复议法》会议强调，各级各部门要深入学习贯彻习近平法治思想，准确把握行政复议制度的精神实质和实践要求，自觉把“程序意识、法治意识、规则意识”贯穿到依法行政的全过程，扎实推进行政争议实质性化解，切实提升社会治理法治化水平。二、会议审议了《关于钟楼区2022年本级预算执行情 钟楼区政府2023年度第11次常务会议纪要 〔2023〕第11期 2023年12月24日上午，在区机关102会议室，区长","二〇二六年七月二十五日公开资料采集整理"
"246","区政府第23次常务会议纪要","2023-12-21","常州市金坛区人民政府网站","http://www.jintan.gov.cn/html/czjt/2023/PAIHAQOE_1226/27967.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=jintan","栏目链接标题含会议纪要","","正文结构命中","废止日期 有效 内容概述 2023年12月13日上午，区长胥亚伟在市民中心B座一楼望华厅主持召开区政府第23次常务会议，现纪要如下：一、会议研究讨论了《2024年度常州市金坛区重点规划编制及策划项目计划清单》会议指出，制定《2024年度常州市金坛区重点规划编制及策划项目计划清单》，是为了加强对我区规划编制工作的刚性管控，充分发挥规划科学引领作用。会议强调，区资源规划局及相关编制责任单位在清单明确后，要严格规范流程，共同参与招投标，合理控制成本 区政府第23次常务会议纪要 第11号 2023年12月13日上午，区长胥亚伟在市民中心B座一楼望华厅主持召开区政","二〇二六年七月二十五日公开资料采集整理"
"247","市政府第46次常务会议纪要","2023-12-18","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202312/4ec19448620d4223b48a31d736e284d3.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","关于真抓实干督查激励拟争取事项、关于养老场所安全生产专委会工作情况的汇报，审议《昆山市市级乡村振兴专项资金管理办法》。 会议议定以下意见： 一、听取昆山市贯彻落实习近平总书记关于知识产权保护工作的重要指示精神的情况汇报 （一）原则同意市市场监管局关于昆山市贯彻落实习近平总书记关于知识产权保护工作的重要指示精神的情况汇报。由市市场监管局根据会议讨论意见，抓好后续工作。 （二）要进一步树牢知识产权保护理念。创新是引领发展的第一动力，保护知识产权就是保护创新。要深入学习贯彻习近平总书记关于知识产权保护工作的重要指示精神，切实增强“知识就是力量、产权必须保护”的","二〇二六年七月二十五日公开资料采集整理"
